Category: All categories

Month,house price Toronto: (Canada),house price Vancouver: (Canada)
2004-01,0,39
2004-02,40,0
2004-03,0,100
2004-04,0,39
2004-05,70,35
2004-06,36,72
2004-07,39,0
2004-08,34,35
2004-09,32,0
2004-10,31,31
2004-11,0,31
2004-12,44,0
2005-01,24,25
2005-02,26,0
2005-03,22,22
2005-04,26,0
2005-05,0,0
2005-06,35,24
2005-07,25,0
2005-08,23,0
2005-09,0,21
2005-10,28,19
2005-11,19,0
2005-12,19,19
2006-01,21,16
2006-02,17,17
2006-03,37,30
2006-04,21,16
2006-05,23,23
2006-06,32,16
2006-07,16,65
2006-08,20,15
2006-09,21,14
2006-10,29,13
2006-11,18,12
2006-12,13,0
2007-01,16,0
2007-02,17,12
2007-03,10,21
2007-04,18,21
2007-05,10,10
2007-06,21,14
2007-07,37,21
2007-08,30,20
2007-09,19,19
2007-10,21,0
2007-11,14,8
2007-12,14,12
2008-01,8,21
2008-02,17,13
2008-03,38,22
2008-04,29,22
2008-05,23,9
2008-06,21,12
2008-07,13,24
2008-08,18,13
2008-09,8,14
2008-10,15,12
2008-11,18,12
2008-12,19,13
2009-01,17,14
2009-02,23,15
2009-03,23,11
2009-04,12,12
2009-05,10,7
2009-06,12,14
2009-07,25,12
2009-08,14,7
2009-09,13,6
2009-10,6,18
2009-11,8,6
2009-12,21,12
2010-01,17,11
2010-02,15,12
2010-03,18,13
2010-04,26,19
2010-05,16,22
2010-06,20,6
2010-07,12,8
2010-08,11,11
2010-09,18,9
2010-10,14,16
2010-11,13,10
2010-12,11,11
2011-01,13,8
2011-02,13,9
2011-03,15,9
2011-04,16,27
2011-05,33,11
2011-06,26,19
2011-07,16,14
2011-08,9,13
2011-09,23,13
2011-10,21,13
2011-11,11,18
2011-12,23,8
2012-01,15,7
2012-02,34,10
2012-03,17,12
2012-04,20,13
2012-05,21,17
2012-06,15,7
2012-07,22,13
2012-08,16,10
2012-09,24,12
2012-10,22,16
2012-11,10,12
2012-12,19,7
2013-01,13,11
2013-02,14,13
2013-03,32,8
2013-04,21,10
2013-05,28,10
2013-06,10,9
2013-07,18,16
2013-08,21,10
2013-09,28,13
2013-10,20,8
2013-11,21,6
2013-12,17,4
2014-01,23,14
2014-02,21,15
2014-03,27,17
2014-04,23,14
2014-05,35,12
2014-06,37,16
2014-07,31,12
2014-08,30,10
2014-09,19,16
2014-10,19,7
2014-11,24,7
2014-12,27,10
2015-01,30,13
2015-02,28,15
2015-03,31,20
2015-04,41,13
2015-05,31,16
2015-06,37,25
2015-07,28,19
2015-08,35,20
2015-09,22,17
2015-10,37,16
2015-11,24,18
2015-12,28,12
2016-01,31,29
2016-02,28,31
2016-03,36,27
2016-04,47,28
2016-05,43,19
2016-06,39,23
2016-07,52,29
2016-08,36,26
2016-09,35,18
2016-10,39,27
2016-11,28,21
2016-12,34,19
2017-01,35,24
2017-02,30,28
2017-03,66,27
2017-04,60,32
2017-05,71,23
2017-06,60,26
2017-07,55,18
2017-08,50,23
2017-09,46,17
2017-10,42,23
2017-11,37,14
2017-12,39,21
2018-01,29,21
2018-02,51,24
2018-03,44,20
2018-04,42,26
2018-05,35,27
2018-06,31,23
2018-07,43,19
2018-08,39,22
2018-09,40,18
2018-10,37,18
2018-11,30,17
2018-12,33,12
2019-01,35,12
2019-02,39,20
2019-03,35,14
2019-04,40,24
2019-05,33,19
2019-06,31,21
2019-07,24,20
2019-08,32,20
2019-09,34,21
2019-10,38,16
2019-11,26,16
2019-12,32,17
2020-01,39,16
2020-02,34,19
2020-03,27,13
2020-04,33,11
2020-05,37,18
2020-06,37,13
2020-07,32,14
2020-08,36,21
2020-09,31,21
2020-10,22,11
2020-11,23,11
